year,name,rank,citizenship,countrycode,networthusbillion,selfmade,typeofwealth,gender,age,industry,IndustryAggregates,region,north,politicalconnection,founder,generationofinheritance,sector,company,companytype,relationshiptocompany,foundingdate,gdpcurrentus,sourceofwealth,notes,notes2,source,source_2,source_3,source_4
1996,Bill Gates,1,United States,USA,18.5,self-made,founder non-finance,male,40,Technology-Computer,New Sectors,North America,1,,1,0, Software,Microsoft,new,founder,1975,8.10E+12,,,,http://www.forbes.com/profile/bill-gates/,,,
2001,Bill Gates,1,United States,USA,58.7,self-made,founder non-finance,male,45,Technology-Computer,New Sectors,North America,1,,1,0, Software,Microsoft,new,founder,1975,1.06E+13,,,,http://www.forbes.com/profile/bill-gates/,,,
2014,Bill Gates,1,United States,USA,76,self-made,founder non-finance,male,58,Technology-Computer,New Sectors,North America,1,,1,0, Software,Microsoft,new,founder,1975,,Microsoft,,,http://www.forbes.com/profile/bill-gates/,,,
2014,Carlos Slim Helu,2,Mexico,MEX,72,self-made,privatized and resources,male,74,Media,Non-Traded Sectors,Latin America,0,,1,0, Communications,Telmex,privatization,founder,1990,,telecom,,,http://www.ozy.com/provocateurs/carlos-slims-worldwide-portfolio/62341,,,
1996,Warren Buffett,2,United States,USA,15,self-made,founder non-finance,male,65,Consumer,Traded Sectors,North America,1,,1,0, Finance,Berkshire Hathaway,new,founder,1962,8.10E+12,,,,http://www.forbes.com/lists/2009/10/billionaires-2009-richest-people_Warren-Buffett_C0R3.html,http://www.forbes.com/companies/berkshire-hathaway/,,
2001,Warren Buffett,2,United States,USA,32.3,self-made,founder non-finance,male,70,Consumer,Traded Sectors,North America,1,,1,0, Finance,Berkshire Hathaway,new,founder,1962,1.06E+13,,,,http://www.forbes.com/lists/2009/10/billionaires-2009-richest-people_Warren-Buffett_C0R3.html,http://www.forbes.com/companies/berkshire-hathaway/,,
2014,Amancio Ortega,3,Spain,ESP,64,self-made,founder non-finance,male,77,"Retail, Restaurant",Non-Traded Sectors,Europe,1,,1,0,Fashion,Zara,new,founder,1975,,retail,,,http://www.forbes.com/profile/amancio-ortega/,,,
1996,Oeri Hoffman and Sacher,3,Switzerland,CHE,13.1,inherited,inherited,,0,Technology-Medical,New Sectors,Europe,1,,0,Third generation,pharmaceuticals,F. Hoffmann-La Roche,new,,1896,3.30E+11,,3rd generation,,http://fr.wikipedia.org/wiki/Hoffmann-La_Roche,http://fr.wikipedia.org/wiki/Hoffmann-Oeri,,
2001,Paul Allen,3,United States,USA,30.4,self-made,founder non-finance,male,48,Technology-Computer,New Sectors,North America,1,,1,0,technology,Microsoft,new,founder,1975,1.06E+13,,,,http://en.wikipedia.org/wiki/Paul_Allen,http://www.businessinsider.com/paul-allen-real-estate-portfolio-2016-1,,
2001,Larry Ellison,4,United States,USA,26,self-made,founder non-finance,male,56,Technology-Computer,New Sectors,North America,1,,1,0, software,Oracle, new,founder,1977,1.06E+13,,,,http://www.forbes.com/profile/larry-ellison/,http://www.businessinsider.com/how-larry-ellison-treats-his-star-employees-2016-1,,
1996,Lee Shau Kee,4,Hong Kong,HKG,12.7,self-made,self-made finance,male,68,Real Estate,Financial,East Asia,0,,1,0,real estate,Henderson Land Development,new,founder/chairman,1976,1.60E+11,,,,http://en.wikipedia.org/wiki/Lee_Shau-kee,http://www.hld.com/en/about/profile.shtml,,
